theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,before_share_median,campaign_positives_p10,campaign_positives_p90,attack_q10,attack_q50,attack_q90,p_attack_ge_0p10,p_attack_le_0p01,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok
3162277660.1683793,0.0,0.0,0.0,3379.7,0.23137626262626262,0.0,570.6,0.0,0.0,0.9163837240635947,0.4,0.6,0.35,False,True,False
3162277660.1683793,3.0,0.075,0.0,3425.1,0.28461301264261485,0.0,646.0,0.0,0.7836162759364054,0.935516033414174,0.65,0.35,0.6,False,False,True
3162277660.1683793,5.0,0.45,1.8000000000000007,3405.4,0.22804030705093978,1.8000000000000007,700.7,0.0007275666936135815,0.8020749124225276,0.9376448396658582,0.825,0.125,0.775,False,True,True
3162277660.1683793,7.0,0.675,0.9000000000000004,3431.1,0.6418463790720199,0.9000000000000004,601.1,0.00026946914578280785,0.9203718674211803,0.9430611694960926,0.8,0.2,0.8,False,False,False
3162277660.1683793,9.0,0.775,347.10000000000014,3405.9,0.8751829068878241,149.10000000000005,599.2,0.2844246833737538,0.9370789544597145,0.9471571005119914,0.9,0.1,0.9,False,False,False
3162277660.1683793,11.0,0.9,1276.9,3366.2,0.9049947784228812,242.3,611.5000000000001,0.4503368364322285,0.9381568310428456,0.9456750202101859,0.95,0.025,0.925,True,False,False
3162277660.1683793,13.0,0.925,1716.7,3446.0,0.889232305072178,232.7,566.3000000000001,0.599326327135543,0.9392347076259768,0.9437348423605497,0.975,0.0,0.975,True,False,False
10000000000.0,0.0,0.0,0.0,3491.5,0.5115540150202196,0.0,459.1,0.0,0.35394772298571814,0.9453516572352465,0.525,0.475,0.5,False,False,False
10000000000.0,3.0,0.075,0.0,3509.0,0.5832870238434502,0.0,646.4000000000001,0.0,0.9073026138507141,0.9499595796281326,0.75,0.25,0.75,False,False,False
10000000000.0,5.0,0.45,1313.1000000000006,3498.9,0.5943980458447323,184.50000000000006,735.6,0.5071139854486664,0.9364052815952573,0.9531932093775263,0.9,0.1,0.9,False,False,False
10000000000.0,7.0,0.675,2229.8,3501.1,0.7723646723646723,239.3,582.0000000000001,0.7193748315817838,0.9474535165723524,0.95642683912692,0.95,0.025,0.95,False,False,False
